,Date,avg_deal_price,lowest_deal_price,num_bidder,num_plates
0,2002.1,14735,13600,3718,1400
1,2002.2,14057,13100,4590,1800
2,2002.3,14662,14300,5190,2000
3,2002.4,16334,16000,4806,2300
4,2002.5,18357,17800,4665,2350
5,2002.6,20178,19600,4502,2800
6,2002.7,20904,19800,3774,3000
7,2002.8,21601,21000,4640,3000
8,2002.9,24040,23600,4393,3200
9,2002.10,27040,26400,4661,3200
10,2002.11,31721,30800,4021,3200
11,2002.12,27848,100,3525,3600
12,2003.1,24267,18800,9442,3000
13,2003.2,25254,23800,12030,3000
14,2003.3,29551,28800,11219,3000
15,2003.4,34845,34100,8794,3300
16,2003.5,36903,35000,14634,3800
17,2003.6,37667,36100,15507,5500
18,2003.7,38269,36900,11929,6000
19,2003.8,39369,38500,9315,4500
20,2003.9,38728,28800,8532,6650
21,2003.10,34842,32800,9383,4500
22,2003.11,34284,33100,9849,5042
23,2003.12,38054,37100,10491,4776
24,2004.1,39516,38000,8663,5000
25,2004.2,40053,39600,10156,4800
26,2004.3,43333,43000,9950,4800
27,2004.4,45492,44200,8150,5500
28,2004.5,34226,10800,8114,6527
29,2004.6,21001,17800,19233,6233
30,2004.7,23544,21800,14464,6600
31,2004.8,25991,25100,15506,6800
32,2004.9,30033,29300,10634,6640
33,2004.10,29768,28000,9519,6600
34,2004.11,27620,26000,9188,6600
35,2004.12,30282,29300,9005,5500
36,2005.1,32520,28500,6208,5500
37,2005.2,32425,31700,8949,3800
38,2005.3,34684,34300,9117,4000
39,2005.4,37355,36800,8113,5000
40,2005.5,35661,35000,9673,5833
41,2005.6,37479,37000,8409,5690
42,2005.7,38378,37900,8777,6326
43,2005.8,35905,25000,7520,6829
44,2005.9,28927,26500,10972,6700
45,2005.10,26385,25200,11167,6000
46,2005.11,30320,29800,13633,5700
47,2005.12,36749,35200,8351,5700
48,2006.01,31220,26900,5907,5000
49,2006.2,34887,34200,12367,3800
50,2006.3,38932,38500,8904,4500
51,2006.4,38326,37500,7888,5000
52,2006.5,38139,37700,8301,4500
53,2006.6,39752,39500,8478,4500
54,2006.7,39966,39600,8966,5500
55,2006.8,40459,39900,9190,6200
56,2006.9,41601,37000,7064,6500
57,2006.10,37899,36300,11237,6500
58,2006.11,38460,37800,110234,6000
59,2006.12,40518,39800,9477,6500
60,2007.1,40974,38500,6587,6000
61,2007.2,40473,39100,5056,3500
62,2007.3,41573,41100,10168,4000
63,2007.4,43623,43300,10523,5500
64,2007.5,44853,44500,10273,6000
65,2007.6,47711,47200,11478,6000
66,2007.7,46581,45200,10327,5500
67,2007.8,46897,46500,12943,8000
68,2007.9,49631,48600,10561,8500
69,2007.10,51000,50500,10715,7500
70,2007.11,54317,53800,10596,7500
71,2007.12,56042,50000,10356,7500
72,2008.01,23370,8100,20539,16000
73,2008.03,32169,31300,63534,9300
74,2008.04,37659,37300,37072,9000
75,2008.05,36047,34400,26341,8200
76,2008.06,34947,33900,21208,7700
77,2008.07,34491,33800,16783,6800
78,2008.08,36460,35900,13451,6000
79,2008.09,31788,29300,11002,6500
80,2008.10,33224,32600,11882,5000
81,2008.11,24351,21800,10170,5500
82,2008.12,31665,31000,16801,4500
83,2009.1,29399,28600,16544,5200
84,2009.2,33394,33000,16848,5200
85,2009.3,27552,26600,18575,6000
86,2009.4,28724,28300,17654,6500
87,2009.5,29100,28500,16471,7200
88,2009.6,30363,30000,17433,8000
89,2009.7,32522,32100,17220,8000
90,2009.8,36231,36000,18750,8000
91,2009.9,29500,27200,14906,8500
92,2009.10,34402,33900,22006,8000
93,2009.11,35317,34900,21902,8000
94,2009.12,37593,36900,18577,8000
95,2010.1,38311,37800,18975,8000
96,2010.2,38620,38300,18810,7500
97,2010.3,39882,39600,17704,8000
98,2010.4,41637,41000,17313,8500
99,2010.5,42262,41900,16324,8500
100,2010.6,40380,39200,16252,9200
101,2010.7,39362,38400,13389,9000
102,2010.8,40169,39800,16855,9000
103,2010.9,42180,41800,15198,9000
104,2010.10,43271,43000,14941,9000
105,2010.11,45291,44900,13429,8500
106,2010.12,15970,10400,11224,9000
107,2011.1,38771,38300,30675,8000
108,2011.2,44627,44200,25104,7500
109,2011.3,46657,46200,25014,8000
110,2011.4,47399,46300,22326,8000
111,2011.5,47700,47400,25708,9000
112,2011.6,48855,48500,22474,9000
113,2011.7,51174,50900,21852,9000
114,2011.8,52228,51000,21544,9000
115,2011.9,52622,52200,22268,9500
116,2011.10,54008,53800,19415,9000
117,2011.11,47635,45700,20050,9000
118,2011.12,51437,51000,26531,8500
119,2012.1,53195,52800,24354,8000
120,2012.2,55632,55400,23391,8000
121,2012.3,58625,58300,24897,8000
122,2012.4,61626,61000,22706,8500
123,2012.5,64367,64000,24230,9300
124,2012.6,58227,55800,24774,9500
125,2012.7,58271,57700,26526,9500
126,2012.8,62559,62100,21425,9500
127,2012.9,66425,65700,19114,9500
128,2012.10,66708,65200,19921,9500
129,2012.11,66946,66400,19120,9500
130,2012.12,69346,68900,18244,9500
131,2013.1,75332,75000,20857,9000
132,2013.2,83571,83300,24651,9000
133,2013.3,91898,90800,23589,9000
134,2013.4,84101,83900,26174,11000
135,2013.5,80803,80700,22224,9000
136,2013.6,77823,77600,21482,9000
137,2013.7,76465,76300,21811,9000
138,2013.8,74939,74700,22650,9000
139,2013.9,73492,73400,35154,9000
140,2013.10,83723,82300,28887,10000
141,2013.11,75717,75500,38220,8500
142,2013.12,76093,76000,39625,8500
143,2014.1,73501,73500,41946,8100
144,2014.2,73357,73200,45758,7400
145,2014.3,73872,73800,61853,7400
146,2014.4,74113,74000,94241,8200
147,2014.5,74503,74400,114121,7400
148,2014.6,73896,73800,135677,7400
149,2014.7,74680,74600,136098,7400
150,2014.8,73785,73600,121550,7400
151,2014.9,73875,73800,122219,8300
152,2014.10,74075,74000,105532,7400
153,2014.11,73633,73500,95595,7400
154,2014.12,73687,73600,96972,7447
155,2015.1,74216,74000,98203,7990
156,2015.2,76618,76500,103224,7653
157,2015.3,74830,74600,132690,7406
158,2015.4,80759,80600,152298,8288
159,2015.5,79099,79000,156007,7482
160,2015.6,80020,80000,172205,7441
161,2015.7,83171,83100,166302,7531
162,2015.8,82642,82600,166939,7454
163,2015.9,82172,82100,165765,8727
164,2015.10,85424,85300,170995,7763
165,2015.11,84703,84600,169159,7514
166,2015.12,84572,84500,179133,7698
167,2016.1,82352,82200,187533,9409
168,2016.2,83244,83200,196470,8363
169,2016.3,83148,83100,221109,8310
170,2016.4,85127,85100,256897,11829
171,2016.5,85058,85000,277889,11598
172,2016.6,84483,84400,275438,11546
173,2016.7,87235,87200,240750,11475
174,2016.8,86946,86900,251188,11549
175,2016.9,86523,86500,229544,12889
176,2016.10,88359,88300,213212,11621
177,2016.11,88665,88600,215424,11549
178,2016.12,88412,88300,219882,12261
179,2017.1,87685,87600,232101,12215
180,2017.2,88240,88200,251717,10157
181,2017.3,87916,87800,262010,10356
182,2017.4,89850,89800,252273,12196
183,2017.5,90209,90100,270197,10316
184,2017.6,89532,89400,244349,10312
185,2017.7,92250,92200,269189,10325
186,2017.8,91629,91600,256083,10558
187,2017.9,91415,91300,250566,12413
188,2017.10,93540,93500,244868,11388
